"","Property_type","City","Country","Detail_clean","Bed_count","Final_price","Discount","Start_date","End_date","Duration_days","Nb_reviews","Rating","Location_full"
"648","Apartment","Kuala Lumpur","Malaysia","EXPRESSIONZ-1Bedroom-Junior-Suite-KLCC-Sky-Pool",1,53,FALSE,2023-06-01,2023-06-06,5,408,4.78,"Kuala Lumpur, Malaysia"
"649","Loft","George Town","Malaysia","Coastline Seaview Duplex Level 19 Executive Floor",6,16,TRUE,2023-06-04,2023-06-09,5,437,4.92,"George Town, Malaysia"
"650","Hotel","Nha Trang","Vietnam","VENUE HOTEL-20 Superior City NiceWindowGood Rate",1,177,FALSE,2023-06-04,2023-06-09,5,17,4.35,"Nha Trang, Vietnam"
"651","Farm stay","Gianyar","Indonesia","Bebalilodge, one bedroom house with private pool",1,57,TRUE,2023-10-30,2023-11-04,5,153,4.97,"Gianyar, Indonesia"
"652","Cabin","Tambon Ko Pha-ngan","Thailand","BOHO CABIN, Hin Kong Beachfront, West Coast.",1,34,TRUE,2023-07-07,2023-07-12,5,44,4.98,"Tambon Ko Pha-ngan, Thailand"
"653","Apartment","Tambon Kamala","Thailand","ACharming Pool Access One Bedroom Apartment",2,66,FALSE,2023-06-03,2023-06-08,5,68,4.82,"Tambon Kamala, Thailand"
"654","Villa","Seririt","Indonesia","Wake up to the Sea of Bali Beachfront luxury plus",8,47,TRUE,2023-10-10,2023-10-16,6,139,5,"Seririt, Indonesia"
"655","Cabin","Lazi","Philippines","Enchanted River cabin wprivate garden and kitchen",1,22,TRUE,2023-08-19,2023-08-24,5,127,4.85,"Lazi, Philippines"
"656","Condo","Cebu City","Philippines","Cozy City Condo at Horizons 101 W WIFI .",2,26,FALSE,2023-06-05,2023-06-10,5,220,4.44,"Cebu City, Philippines"
"657","Apartment","Tambon Patong","Thailand","SUNSET SEAVIEW DELUXE PATONG - POOLTERRACE",2,64,FALSE,2023-06-25,2023-06-30,5,159,4.8,"Tambon Patong, Thailand"
"658","Condo","Chiang Mai","Thailand","Cozy room 48.5 sq.m The Astra near Night market",2,45,FALSE,2023-06-07,2023-06-12,5,190,4.89,"Chiang Mai, Thailand"
"659","Condo","Tambon Thep Krasatti","Thailand","2 Bedrooms Beachfront on Maikhao Beach B7F",2,90,FALSE,2023-06-01,2023-06-06,5,65,4.6,"Tambon Thep Krasatti, Thailand"
"660","Apartment","Kuala Lumpur","Malaysia","EXPRESSIONZ-1Bedroom-Junior-Suite-KLCC-Sky-Pool",1,53,FALSE,2023-06-01,2023-06-06,5,408,4.78,"Kuala Lumpur, Malaysia"
"661","Apartment","Tambon Hua Hin","Thailand","La Casita Hua Hin 2",1,32,FALSE,2023-06-22,2023-06-27,5,170,4.75,"Tambon Hua Hin, Thailand"
"662","Room","Tebet","Indonesia","The LOJI Patra Kuningan 3",2,24,FALSE,2023-06-30,2023-07-05,5,69,4.83,"Tebet, Indonesia"
"663","Condo","Cebu City","Philippines","Cozy Studio across Ayala Mall iT Park 1min walk",1,26,FALSE,2023-07-20,2023-07-25,5,235,4.78,"Cebu City, Philippines"
"664","Bungalow","Ko Samui","Thailand","B4 Sea Breeze Bungalow with Ensuite and AC",2,33,FALSE,2023-06-14,2023-06-19,5,191,4.82,"Ko Samui, Thailand"
